Google Scholar Cluster,Year,Date,eDate,Authors,Title,Type,Journal/conference/book,ISSN/ISBN,Keywords,Step,Review Group,Citation Count,Internal Citations,Debut,Same study,Conceptual framework,Methodological framework,Data source,Interval,Software,Graph construction,Structure of interest
3140411546812095568|15690442731476067221,2009,Apr 10,2009/04/10,"Hidalgo, C. A.|Blumm, N.|Barabasi, A.-L.|Christakis, N. A.",A dynamic network approach for the study of human phenotypes,Journal Article,PLoS Computational Biology,,,Seed,Clinical co-occurrence,222,4720068888103178430|10935304083398930833|5376773155503413590|13883262842558479255|8347259751458631971|7364335901401499652|319607914197906293|8495558384999898192|3907354121185999848|14129324961857661565|13413072286841187229|304338748587054938|5768385528986110490|11744806829323175461|9975778981456457950|18340469069556949129|6198767401959411329|15369475864192034659|645850665961501145|9977679068032873450|776968177559771446|405484615237516781|18317753853438832501|5116663888640807073|6116679526498741915,2009-04-10,,Disease progression,Hypothesis generation,Medicare Provider Analysis and Review,1990Ð1993,Ð,Co-occurrence of diseases across patients,"Dyads, paths"
2533973818486057472,2009,Mar,2009/03/07,"Iwashyna, T. J.|Christie, J. D.|Kahn, J. M.|Asch, D. A.",Uncharted paths: Hospital networks in critical care,Journal Article,Chest,0012-3692,critical care|health-care organization|Medicare|network analysis|regionalization,Seed,Institutional exchange,36,4537066903811917183|6729187441749415685|15274025032195515406|14064810811573050452|353675683955473249|17562390653818184065|7007704270923744745|11838286190902064906|2532550215998274877|4782068552717627566|626977247688835538|2862041699259010282|10045806777044423682|3853481226495975509,2009-03-07,,Organizational effectiveness,Ð,Medicare Provider Analysis and Review,2005,Ð,Sequential occurrence of hospitals across patients,"Dyads, neighborhoods"
10291795343852326164,2009,Jul,2009/06/19,"Iwashyna, T. J.|Christie, J. D.|Moody, J.|Kahn, J. M.|Asch, D. A.",The structure of critical care transfer networks,Journal Article,Medical Care,0025-7079,networks|critical care|regionalization|Medicare,Seed,Institutional exchange,74,6729187441749415685|15274025032195515406|14064810811573050452|9782718888324797307|16215917201762474307|10152905706519051793|353675683955473249|17859025969057339015|4731741271071474583|7007704270923744745|11838286190902064906|2532550215998274877|8694347996165652637|4026134441475336276|626977247688835538|13508888899711955148|2862041699259010282|11204179047977547964|12885358153772323640|9436363093917650391|10045806777044423682|3693774038279178940,2009-06-19,,Organizational effectiveness,Ð,Medicare Provider Analysis and Review,2005,Pajek,Sequential occurrence of hospitals across patients,"Neighborhoods, graph"
4720068888103178430,2009,Apr 7,2009/04/10,"Park, J.|Lee, D. S.|Christakis, N. A.|Barabasi, A.-L.",The impact of cellular networks on disease comorbidity,Journal Article,Molecular Systems Biology,1744-4292,cellular networks|comorbidity|database|population-level statistics,Seed,Clinical co-occurrence,134,10935304083398930833|8347259751458631971|319607914197906293|5116663888640807073|7392902419163354003|13413072286841187229|304338748587054938|11744806829323175461|9975778981456457950|18340469069556949129|405484615237516781,2009-04-07,,Molecular biology of disease,Ð,Medicare,Ð,Mathematica,Co-occurrence of diseases across patients,Dyads
17237570160429222740,2009,Feb 17,2009/02/18,"Pham, H. H.|O'Malley, A. S.|Bach, P. B.|Saiontz-Martinez, C.|Schrag, D.",Primary care physicians' links to other physicians through medicare patients: The scope of care coordination,Journal Article,Annals of Internal Medicine,0003-4819,,Seed,Physician collaboration,116,4537066903811917183|9946192549239923136|2433030717678364542|8694347996165652637|15479119673249488530|5884760505723322221|17653819535321164289,2009-02-17,,Care coordination,Ð,Medicare fee-for-service claims,2005,Ð,Co-occurrence of physicians across patients,Neighborhoods
2178500113847122432,2010,Mar 19,2010/03/19,"Donker, T.|Wallinga, J.|Grundmann, H.",Patient referral patterns and the spread of hospital-acquired infections through national health care networks,Journal Article,PLoS Computational Biology,1553-734x,,Seed,Institutional exchange,46,6729187441749415685|11016148139901833908|15634943498374959697|9782718888324797307|4908748148043447820|353675683955473249|17562390653818184065|5741716401679290878|14453081923007059267|17525824778436963126|2755478082970559510|2894765692799592605|16276297231141117463|17959342134111868712|7408107029410258511,2010-03-19,,Epidemiology,Ð,Dutch national medical register,2004,Ð,Proximate co-occurrence of patients at hospitals,"Neighborhoods, diffusion"
1309077565000164742,2010,May 11,2010/05/13,"Fattore, G.|Salvatore, D.",Network organizations of general practitioners: Antecedents of formation and consequences of participation,Journal Article,BMC Health Services Research,1472-6963,,PubMed,Physician collaboration,17,,2010-05-11,,Social capital and social influence,ERGM,"Emila-Romagna, Italy > Local Health Authority of Piacenza",,"SIENA, UCINET",Co-occurrence of GPs across collaborative arrangements,Dyads
6910771915725231306,2010,Jun,2010/05/12,"Gray, J. E.|Davis, D. A.|Pursley, D. M.|Smallcomb, J. E.|Geva, A.|Chawla, N. V.",Network analysis of team structure in the neonatal intensive care unit,Journal Article,Pediatrics,0031-4005,neonatal intensive care|network analysis|satisfaction|quality improvement|electronic health record,Seed,Workplace interaction,26,17524241152479259458|5884760505723322221|14169676455367417537,2010-05-12,,Care coordination,Ð,Beth Israel Deaconess Medical Center,2002Ð2007,Pajek,Sequential occurrence of nurses across patient records,"Graph, paths, cycles"
7291029619002382552,2010,Nov,2010/09/28,"Huang, S. S.|Avery, T. R.|Song, Y.|Elkins, K. R.|Nguyen, C. C.|Nutter, S. K.|Nafday, A. A.|Condon, C. J.|Chang, M. T.|Chrest, D.|Boos, J.|Bobashev, G.|Wheaton, W.|Frank, S. A.|Platt, R.|Lipsitch, M.|Bush, R. M.|Eubank, S.|Burke, D. S.|Lee, B. Y.",Quantifying interhospital patient sharing as a mechanism for infectious disease spread,Journal Article,Infection Control and Hospital Epidemiology,0899-823x,,Reference,Institutional exchange,34,11016148139901833908|15634943498374959697|9782718888324797307|13631684328836103551|353675683955473249|5433537624725733394|17562390653818184065|4080037742988848092|5741716401679290878|626977247688835538|11659103491509650714|17959342134111868712,2010-09-28,,Epidemiology,Ð,California Office of Statewide Health Planning and Development,2005Ð2006,Ð,Designated patient transfer between hospitals | Sequential occurrence of hospitals across patients,Dyads
14064810811573050452,2010,Sep,2010/08/05,"Iwashyna, T. J.|Kahn, J. M.|Hayward, R. A.|Nallamothu, B. K.",Interhospital transfers among medicare beneficiaries admitted for acute myocardial infarction at nonrevascularization hospitals,Journal Article,Circulation: Cardiovascular Quality and Outcomes,1941-7713,patient transfers|revascularization|networks|Medicare|mortality,PubMed,Institutional exchange,23,4731741271071474583|10045806777044423682,2010-08-05,,Organizational effectiveness,Regression,Medicare Provider Analysis and Review,2006,Ð,Sequential occurrence of hospitals across patients,Neighborhoods
2257150891430597618,2010,Feb-Mar,2010/02/04,"Zhou, X.-Z.|Chen, S.|Liu, B.-Y.|Zhang, R.-S.|Wang, Y.-H.|Li, P.|Guo, Y.|Zhang, Hu.|Gao, Z.|Yan, X.",Development of traditional chinese medicine clinical data warehouse for medical knowledge discovery and decision support,Journal Article,Artificial Intelligence in Medicine,0933-3657,Clinical data warehouse|Traditional Chinese medicine|Clinical data mining|Clinical decision support,PubMed,Clinical co-occurrence,120,9569436664494001075|15397681090571566352|7075984228223359820|8532839801068921677,2010-02-04,,Decision support,Rule mining,a clinical data warehouse,Ð,JUNG,Co-occurrence of herbs across prescriptions,Connected components
6898565870034977114,2011,Nov-Dec,2011/11/04,"Anderson, C.|Talsma, A.",Characterizing the structure of operating room staffing using social network analysis,Journal Article,Nursing Reseach,0029-6562,operating rooms|personnel staffing and scheduling|social networks,Seed,Workplace interaction,10,5884760505723322221,2011-11-04,,Ð,Ð,a large university hospital,2008,"UCINET, NetDraw",Co-occurrence of staff members across surgical cases,"CoreÐperiphery, neighborhoods, paths, graph"
3940588078366372491,2011,Aug,2011/06/15,"Ball, R.|Botsis, T.",Can network analysis improve pattern recognition among adverse events following immunization reported to vaers?,Journal Article,Clinical Pharmacology & Therapeutics,1532-6535,,Reference,Clinical co-occurrence,20,7251199940575600205|275418318717836749,2011-06-15,,Health surveillance,Ð,Vaccine Adverse Event Reporting System,2005Ð2007,"Pajek, Organization Risk Analyzer, Python",Associations between vaccines and adverse events across adverse event reports,"Paths, neighborhoods, triads"
13828393801473211779,2011,Oct,2011/04/26,"Barnett, M. L.|Landon, B. E.|O'Malley, A. J.|Keating, N. L.|Christakis, N. A.",Mapping physician networks with self-reported and administrative data,Journal Article,Health Services Research,1475-6773,Physician networks|physician referral|health care systems|network analysis,Seed,Physician collaboration,38,4537066903811917183|9946192549239923136|14270428956862812592|12641048451323848196|2433030717678364542|15479119673249488530|15729444450210853376|14151262832984177483|4125094932718142742|793633649644841267|8552262842231584077|3001601440051743147|10704495480470258068|11699186662207755316|15141833724125448122|17653819535321164289|12112474574544883449|11328982779482658636|2124097880840271620|13862997009944514441,2011-04-26,,Collaborative practice,Mixed methods,Centers for Medicare & Medicaid Services  > Medicare claims,2006,R > igraph,Co-occurrence of physicians across patients,Dyads
8347259751458631971,2011,Jul 29,2011/08/11,"Davis, D. A.|Chawla, N. V.",Exploring and exploiting disease interactions from multi-relational gene and phenotype networks,Journal Article,PLoS One,1932-6203,,PubMed,Clinical co-occurrence,27,7364335901401499652|5768385528986110490|6198767401959411329,2011-07-29,,Molecular biology of disease,Ð,a regional health system,1997Ð2009,Ð,Co-occurrence of diseases across patients,"Dyads, communities, triads"
9720401440094211724,2011,Nov,,"Geva, A.|Wright, S. B.|Baldini, L. M.|Smallcomb, J. E.|Safran, C. A.|Gray, J. E.",Spread of methicillin-resistant staphylococcus aureus in a large tertiary nicu: Network analysis,Journal Article,Pediatrics,,network analysis|infant|newborn|infection control|methicillin-resistant Staphylococcus aureus,Scopus,Workplace interaction,21,,2011-11-30,,Epidemiology,Regression,Beth Israel-Deaconess Medical Center,Jun 2002ÐDec 2007,Pajek,Co-occurrence of infants across nurses or rooms,Graph
14097438892606895531,2011,Jun 23,2011/06/23,"Holmes, A. B.|Hawson, A.|Liu, F.|Friedman, C.|Khiabanian, H.|Rabadan, R.",Discovering disease associations by integrating electronic clinical data and medical literature,Journal Article,PLoS One,,,Reference,Clinical co-occurrence,28,10107310476031659138|18019012530933088348|6116679526498741915,2011-06-23,,Population health,Rule mining,New York Presbyterian Hospital,1991Ð2009,Ð,Co-occurrence of diseases across patients,Dyads
8289021342855558176,2011,Mar-Apr,2011/02/05,"Hripcsak, G.|Vawdrey, D. K.|Fred, M. R.|Bostwick, S. B.",Use of electronic clinical documentation: Time spent and team interactions,Journal Article,Journal of the American Medical Informatics Association,1067-5027,,PubMed,Workplace interaction,50,5884760505723322221,2011-02-05,,Ð,Ð,an urban academic medical center,Ð,"APL2, igraph",Designated note viewings between user groups; sequential occurrence of note authors across patients,"Neighborhoods, dyads, communities"
353675683955473249,2011,Oct,2011/08/19,"Karkada, U. H.|Adamic, L. A.|Kahn, J. M.|Iwashyna, T. J.",Limiting the spread of highly resistant hospital-acquired microorganisms via critical care transfers: A simulation study,Journal Article,Intensive Care Medicine,0342-4642,Hospital-acquired infections|Patient transfers|Networks|Antimicrobial resistance|Medicare|Critical care,PubMed,Institutional exchange,15,9782718888324797307|17562390653818184065|14453081923007059267|2755478082970559510,2011-08-19,,Epidemiology,Stochastic modeling,Medicare Provider Analysis and Review,1998Ð2005,Perl,Sequential occurrence of hospitals across patients,"Neighborhoods, paths, diffusion"
6729187441749415685,2011,Apr,2011/02/19,"Lee, B. Y.|McGlone, S. M.|Song, Y.|Avery, T. R.|Eubank, S.|Chang, C. C.|Bailey, R. R.|Wagener, D. K.|Burke, D. S.|Platt, R.|Huang, S. S.","Social network analysis of patient sharing among hospitals in orange county, california",Journal Article,American Journal of Public Health,1541-0048 (Electronic)|0090-0036 (Linking),,Seed,Institutional exchange,38,11016148139901833908|15634943498374959697|13631684328836103551|17562390653818184065|4080037742988848092|7007704270923744745|5741716401679290878|11838286190902064906|2532550215998274877|4026134441475336276|626977247688835538|2862041699259010282|11204179047977547964|11659103491509650714|12885358153772323640|9436363093917650391|742906124760025150|3853481226495975509|3693774038279178940,2011-02-19,,Ð,Ð,California Office of Statewide Health Planning and Development,2005Ð2006,UCINET,Designated patient transfer between hospitals; sequential occurrence of hospitals across patients,"Neighborhoods, diffusion"
11016148139901833908,2011,Jun,2011/05/02,"Lee, B. Y.|McGlone, S. M.|Wong, K. F.|Yilmaz, S. L.|Avery, T. R.|Song, Y.|Christie, R.|Eubank, S.|Brown, S. T.|Epstein, J. M.|Parker, J. I.|Burke, D. S.|Platt, R.|Huang, S. S.","Modeling the spread of methicillin-resistant staphylococcus aureus (mrsa) outbreaks throughout the hospitals in orange county, california",Journal Article,Infection Control and Hospital Epidemiology,0899-823x,,Reference,Institutional exchange,34,15634943498374959697|13631684328836103551|5433537624725733394|4080037742988848092|5741716401679290878|14453081923007059267|626977247688835538|11659103491509650714|17959342134111868712,2011-05-02,,Epidemiology,Agent-based modeling,California Office of Statewide Health Planning and Development,2006,Ð,Designated patient transfer between hospitals | Sequential occurrence of hospitals across patients,"Neighborhoods, diffusion"
4080037742988848092,2011,Dec 27,2012/01/05,"Lee, B. Y.|Song, Y.|Bartsch, S. M.|Kim, D. S.|Singh, A.|Avery, T. R.|Brown, S. T.|Yilmaz, S. L.|Wong, K. F.|Potter, M. A.|Burke, D. S.|Platt, R.|Huang, S. S.",Long-term care facilities: Important participants of the acute care facility social network?,Journal Article,PLoS One,1932-6203,,PubMed,Institutional exchange,12,15634943498374959697|5433537624725733394|14453081923007059267|11659103491509650714|742906124760025150,2011-12-27,,Ð,Ð,California Office of Statewide Health Planning and Development,2007,UCINET,Designated patient transfers between long-term care facilities and acute care facilities,"Neighborhoods, paths, graph"
4908748148043447820,2011,Feb,2011/01/14,"Lesosky, M.|McGeer, A.|Simor, A.|Green, K.|Low, D. E.|Raboud, J.",Effect of patterns of transferring patients among healthcare institutions on rates of nosocomial methicillin-resistant staphylococcus aureus transmission: A monte carlo simulation,Journal Article,Infection Control and Hospital Epidemiology,,,Reference,Institutional exchange,23,15634943498374959697|5433537624725733394|14453081923007059267|17525824778436963126|2894765692799592605|17959342134111868712,2011-01-14,,Epidemiology,Stochastic modeling,Ontario Provincial Transfer Authorization Centre,Ð,Ð,Designated patient transfer between hospitals and nursing homes,Diffusion
17524241152479259458,2011,Apr,2011/02/01,"Malin, B.|Nyemba, S.|Paulett, J.",Learning relational policies from electronic health record access logs,Journal Article,Journal of Biomedical Informatics,1532-0464,Electronic health records|Organizational behavior|Knowledge discovery|Access logs|Auditing,PubMed,Workplace interaction,24,1953740496731087844|12720777841101355744|13131482859672835122|782411653304378480|6828545711075462513|7768243109589650196|7084361583529973999,2011-02-01,,Ð,Rule mining,Vanderbilt University Medical Center,21 weeks in 2006,Ð,Co-occurrence of users across patient records,Dyads
10141317009102901743,2011,,2011/01/01,"Manuel, D. G.|Lam, K.|Maaten, S.|Klein-Geltink, J.","Using administrative data to measure the extent to which practitioners work together: ""Interconnected"" care is common in a large cohort of family physicians",Journal Article,Open Medicine,,,PubMed,Physician collaboration,2,,2011-01-01,,Collaborative practice,Ð,Ontario Ministry of Health and Long-Term Care,Sep 2005ÐAug 2006,Ð,Co-occurrence of physicians across patients,Neighborhoods
17859025969057339015,2011,Oct-Dec,,"Mascia, D.|Di Vincenzo, F.",Understanding hospital performance: The role of network ties and patterns of competition,Journal Article,Health Care Management Review,0361-6274,competition|hospital productivity|network ties|organizational theory|relational view,Reference,Institutional exchange,14,7007704270923744745|11838286190902064906|4026134441475336276|2862041699259010282|11204179047977547964|3853481226495975509,2011-12-31,,Collaboration and competition,Regression,Abruzzo Regional Health Agency,2003Ð2007,UCINET,Ð,Dyads
10152905706519051793,2011,Oct,,"Pallotti, F.|Lomi, A.",Network influence and organizational performance: The effects of tie strength and structural equivalence,Journal Article,European Management Journal,0263-2373,Interorganizational networks|Tie strength|Structural equivalence|Organizational performance,Reference,Institutional exchange,15,2862041699259010282,2011-10-31,,Collaboration and competition,Regression,"Lazio, Italy > Regional Hospital Information System",Ð,Ð,Ð,"Dyads, neighborhoods"
13991307964333625556,2011,May-Jun,2011/10/29,"Puggioni, D.|Cappellini, G.|Di Bisceglie, M.|Cappellini, C.|Minerba, L.",Use of the complex network theory to study inpatient flow between health facilities in sardinia (italy),Journal Article,Igiene e Sanita Pubblica,0019-1639 (Print)|0019-1639,Theory of complex networks|Healthcare,PubMed,Institutional exchange,0,,2011-06-30,,Organizational effectiveness,Ð,Autonomous Region of Sardinia,2003,UCINET,Designated patient transfers between Local Health Authorities,"Neighborhoods, paths"
10935304083398930833,2011,Aug 25,2011/08/25,"Roque, F. S.|Jensen, P. B.|Schmock, H.|Dalgaard, M.|Andreatta, M.|Hansen, T.|Soeby, K.|Bredkjaer, S.|Juul, A.|Werge, T.|Jensen, L. J.|Brunak, S.",Using electronic patient records to discover disease correlations and stratify patient cohorts,Journal Article,PLoS Computational Biology,1553-734x,,Seed,Clinical co-occurrence,116,7392902419163354003|304338748587054938|11744806829323175461|2183433638187223115|645850665961501145|9594940078641679063|9977679068032873450|405484615237516781|18317753853438832501,2011-08-25,,Comorbidity,Natural language processing,Sct. Hans Hospital,1998Ð2008,Ð,Similarity of diseases across patient records; similarity of patient records across diseases,Communities
2560662481989550073,2011,Dec 16,2011/12/16,"Siden, H.|Urbanoski, K.",Using network analysis to map the formal clinical reporting process in pediatric palliative care: A pilot study,Journal Article,BMC Health Services Research,1472-6963 (Electronic)|1472-6963 (Linking),,Seed,Workplace interaction,4,,2011-12-16,,Care coordination,Ð,BC Children's Hospital and Canuck Place Children's Hospice,JanÐMar 2008,"UCINET, NetDraw",Designated written communication between providers,"Graph, neighborhoods"
16188532122261777953,2011,Sep-Oct,2011/09/15,"Uddin, S.|Hossain, L.",Social networks enabled coordination model for cost management of patient hospital admissions,Journal Article,Journal for Healthcare Quality,1945-1474,coordination model|cost management|degree centrality|hospitalization cost|patient centered,Reference,Workplace interaction,9,5477252860303490902|4125094932718142742|3520253853021664728|3001601440051743147|12669593047361150433,2011-09-15,,Care coordination,Ð,Hospital Contribution Fund,Jan 2005ÐFeb 2009,PostgreSQL,Associations between patients and doctors across encounters,"Neighborhoods, dyads"
3520253853021664728,2012,Jun,2011/02/24,"Abbasi, A.|Uddin, S.|Hossain, L.",Socioeconomic analysis of patient-centric networks: Effects of patients and hospitals' characteristics and network structure on hospitalization costs,Journal Article,European Journal of Health Economics,,Social network analysis|Centrality measures|Tie strength|Hospitalization cost|Total hip replacement,Scopus,Workplace interaction,2,12669593047361150433|742906124760025150,2011-02-24,,Organizational effectiveness,Ð,Hospital Contribution Fund,Jan 2005ÐFeb 2009,Ð,Associations between patients and doctors across encounters,"Neighborhoods,  dyads"
9946192549239923136,2012,Feb,2012/01/18,"Barnett, M. L.|Christakis, N. A.|O'Malley, A. J.|Onnela, J.-P.|Keating, N. L.|Landon, B. E.",Physician patient-sharing networks and the cost and intensity of care in us hospitals,Journal Article,Medical Care,0025-7079,health care costs|network analysis|primary care|health care systems|hospitals|health care variation,Seed,Physician collaboration,36,4537066903811917183|12641048451323848196|15479119673249488530|15729444450210853376|11351703201172433691|14151262832984177483|4125094932718142742|793633649644841267|13508888899711955148|8552262842231584077|3001601440051743147|15141833724125448122|17653819535321164289|12112474574544883449|12055918768487749039|2124097880840271620,2012-01-18,,Care coordination,Regression,Medicare Carrier File,2006,R > igraph,Co-occurrence of physicians across patients,"Neighborhoods, paths"
14270428956862812592,2012,May,2011/09/16,"Barnett, M. L.|Keating, N. L.|Christakis, N. A.|O'Malley, A. J.|Landon, B. E.",Reasons for choice of referral physician among primary care and specialist physicians,Journal Article,Journal of General Internal Medicine,1525-1497,health services research|physician referral|reasons for referral|primary care,Reference,Physician collaboration,20,4537066903811917183,2011-09-16,,Ð,Mixed methods,Medicare,2006,"R > gee, R > Zelig",Co-occurrence of physicians across patients,Dyads
1953740496731087844,2012,May,2012/05/01,"Chen, Yo.|Nyemba, S.|Malin, B.",Detecting anomalous insiders in collaborative information systems,Journal Article,IEEE Transactions on Dependable and Secure Computing,1545-5971 (Print)|1545-5971,Privacy|social network analysis|data mining|insider threat detection,PubMed,Workplace interaction,25,1477209901690465573|7084361583529973999,2012-05-01,,Inappropriate access,Anomaly detection,Vanderbilt University Medical Center,3 months in 2010,Ð,"Associations between users, patient records, and diagnosis codes across access transactions",Communities
782411653304378480,2012,Feb 27,2013/02/13,"Chen, Yo.|Nyemba, S.|Zhang, W.|Malin, B.",Specializing network analysis to detect anomalous insider actions,Journal Article,Security Informatics,2190-8532 (Print),Insider threat|anomaly detection|collaborative information system|specialized network|electronic health record|access logs,PubMed,Workplace interaction,10,6828545711075462513|7084361583529973999,2012-02-27,,Inappropriate access,Anomaly detection,Vanderbilt University Medical Center,30 weeks in 2006,Ð,Similarity of users across accesses,Communities
9782718888324797307,2012,Apr 25,2012/05/05,"Donker, T.|Wallinga, J.|Slack, R.|Grundmann, H.",Hospital networks and the dispersal of hospital-acquired pathogens by patient transfer,Journal Article,PLoS One,1932-6203,,PubMed,Institutional exchange,23,17562390653818184065|14453081923007059267|2755478082970559510|17959342134111868712|7408107029410258511,2012-04-25,,Epidemiology,Agent-based modeling,England National Health Service > Hospital Episode Statistics,Apr 2006ÐMar 2007,Ð,Sequential occurrence of hospitals across patients,"Communities, neighborhoods"
